,Grid_id,Season_year,Date,Precipitation,Elevation_Category,SPI-3
245,1,2014,2015-01-31,40.99888,2000_2500m,1.446755760885975
246,1,2014,2015-02-28,39.624769,2000_2500m,1.0738391233137237
247,1,2014,2015-03-31,12.798772,2000_2500m,0.8534778137793245
248,1,2015,2015-11-30,84.65885,2000_2500m,1.6099208469699047
249,1,2015,2015-12-31,36.27071,2000_2500m,1.5577664913406954
250,1,2015,2016-01-31,22.629532,2000_2500m,1.7084182348976116
251,1,2015,2016-02-29,30.877928,2000_2500m,0.7808033630586325
252,1,2015,2016-03-31,19.167003,2000_2500m,0.41122041931693765
253,1,2016,2016-10-31,105.639732,2000_2500m,1.8856374860911296
254,1,2016,2016-11-30,47.177233,2000_2500m,2.1108907537473844
255,1,2016,2016-12-31,65.973245,2000_2500m,2.6928713353820846
256,1,2016,2017-01-31,33.672595,2000_2500m,1.7570089685382255
257,1,2016,2017-02-28,55.737782,2000_2500m,1.881343317319228
258,1,2016,2017-03-31,81.943144,2000_2500m,2.1024284097104475
259,1,2016,2017-04-30,74.951216,2000_2500m,2.620926342848456
260,1,2017,2017-10-31,87.230286,2000_2500m,2.9767210016568506
261,1,2017,2017-11-30,80.138529,2000_2500m,2.9571023272120422
262,1,2017,2017-12-31,27.826974999999997,2000_2500m,2.4101220606751106
263,1,2017,2018-01-31,31.847678,2000_2500m,1.651797266134274
264,1,2017,2018-02-28,56.440351,2000_2500m,1.2694167251043094
265,1,2017,2018-03-31,63.139952,2000_2500m,1.8244335005200178
266,1,2017,2018-04-30,1.1632959999999999,2000_2500m,1.3477250899563689
267,1,2018,2018-10-31,42.703091,2000_2500m,1.109319051093523
268,1,2018,2018-11-30,67.885609,2000_2500m,1.1937679173418378
269,1,2018,2018-12-31,39.943219,2000_2500m,1.811414222492182
270,1,2018,2019-01-31,39.926694000000005,2000_2500m,1.7707667046331586
271,1,2018,2019-02-28,34.30531,2000_2500m,1.2360104033277484
272,1,2018,2019-03-31,10.566492,2000_2500m,0.6783348019312861
273,1,2019,2019-10-31,50.966847,2000_2500m,0.9006577136791486
274,1,2019,2019-11-30,35.183011,2000_2500m,0.9176058277419398
275,1,2019,2019-12-31,80.71382,2000_2500m,2.0416018686119246
276,1,2019,2020-01-31,46.288238,2000_2500m,1.9771371334506758
277,1,2019,2020-02-29,57.494158999999996,2000_2500m,2.2750532642366914
278,1,2019,2020-03-31,48.641324,2000_2500m,1.8388451313258556
279,1,2020,2020-10-31,88.78294199999999,2000_2500m,2.406678312694302
280,1,2020,2020-11-30,75.113889,2000_2500m,2.619818621901973
281,1,2020,2020-12-31,71.71436899999999,2000_2500m,2.883392648257331
282,1,2020,2021-01-31,23.723465,2000_2500m,2.09163840925448
283,1,2020,2021-02-28,44.609203,2000_2500m,1.6553595791080697
284,1,2020,2021-03-31,43.332933,2000_2500m,1.1922511465378374
285,1,2020,2021-04-30,5.382143,2000_2500m,0.8515449030158284
286,1,2021,2021-10-31,34.997009,2000_2500m,0.6554620376039356
287,1,2021,2021-11-30,142.612747,2000_2500m,2.2556838237748837
288,1,2021,2021-12-31,101.586204,2000_2500m,3.342041201451418
289,1,2021,2022-01-31,32.155964,2000_2500m,3.3134974769563366
290,1,2021,2022-02-28,9.162386999999999,2000_2500m,1.698591611609068
291,1,2021,2022-03-31,24.024183,2000_2500m,0.23510815247278247
292,1,2022,2022-10-31,18.688299,2000_2500m,-0.12643222377771263
293,1,2022,2022-11-30,45.059973,2000_2500m,0.7399866211348827
294,1,2022,2022-12-31,54.693335,2000_2500m,1.3090212888772754
295,1,2022,2023-01-31,3.8654929999999994,2000_2500m,1.0475643452862717
296,1,2022,2023-02-28,33.148239,2000_2500m,0.8195028274105021
297,1,2022,2023-03-31,11.351199000000001,2000_2500m,-0.23094318355917545
298,2,1980,1980-10-31,12.523943,2000_2500m,0.018505361457944562
299,2,1980,1980-11-30,57.664599,2000_2500m,0.6091389322538242
300,2,1980,1980-12-31,104.683225,2000_2500m,2.1494118072860133
301,2,1980,1981-01-31,16.509326,2000_2500m,2.201939082836046
302,2,1980,1981-02-28,43.341281,2000_2500m,2.0096409346115838
303,2,1980,1981-03-31,20.157669000000002,2000_2500m,0.5759949483711023
304,2,1980,1981-04-30,37.465932,2000_2500m,0.9982743172113552
305,2,1980,1981-05-31,23.334796,2000_2500m,0.5966058335866053
306,2,1981,1981-10-31,45.078167,2000_2500m,1.0889063919297928
307,2,1981,1981-11-30,20.325679,2000_2500m,0.7597234703801823
308,2,1981,1981-12-31,55.152224999999994,2000_2500m,1.3445896986579575
309,2,1981,1982-01-31,81.809999,2000_2500m,1.9084206759283509
310,2,1981,1982-02-28,55.509398000000004,2000_2500m,2.376169146066529
311,2,1981,1982-03-31,42.732389,2000_2500m,2.21754463383787
312,2,1981,1982-04-30,22.111145,2000_2500m,1.3411898172942873
313,2,1981,1982-05-31,6.979678000000001,2000_2500m,0.3913959581212504
314,2,1982,1982-10-31,17.484084,2000_2500m,-0.2862490184656852
315,2,1982,1982-11-30,30.616453,2000_2500m,-0.035114033085819785
316,2,1982,1982-12-31,38.381021000000004,2000_2500m,0.7133952019392098
317,2,1982,1983-01-31,78.328808,2000_2500m,1.7644402438249749
